,sentence,sector
299,Full employment is defined as employment of 97.5 percent or unemployment rate of 2.5 percent.,4
300,"Employment is defined as ""if a person has performed some paid work in cash or in kind, during the reference period for at least one hour or the person has a job or business formally attached but temporarily absent from the work and going to resume the work"".",4
301,"""Reference period refers to the week preceding the date of the survey interview""35.",4
302,Labour Force Surveys are conducted by the Ministry of Labour and Human Resources on an annual basis.,4
303,5.4.1  Current Situation,4
304,The overall unemployment rates increased from 1.4 percent in 1998 to 4.2 percent in 2008 and have since then declined to 2.1 percent in 2012.,4
305,"Similarly at disaggregated levels, unemployment has decreased by area of residence (rural/ urban), by gender and by youth in 2012.",4
306,"Agriculture sector continues to be the largest employer accounting for 62 percent of total employment, followed by public administration at 8 percent, manufacturing at 5 percent and others contributing less than 5 percent.",4
307,"In terms of gender, the percentage of females employed are higher in agriculture, wholesale and retail trade, and hotels and restaurants sectors.",4
308,"In terms of the nature of employment, majority of those employed are agriculture family worker36 representing 39.5 percent followed by regular paid employee consisting of 23.9 percent of the total.",4
309,"At the Dzongkhag level, the unemployment was highest in Thimphu with an unemployment rate of 4.3 percent followed by Sarpang, Trongsa, Tsirang, Dagana, Paro and Zhemgang all registering unemployment rates higher than the national average of 2.1 percent.",4
310,"Gasa, Bumthang, Pema Gatshel and Samdrup Jongkhar had unemployment rate of less than 1 percent.",4
311,5.4.2  Key Challenges,4
312,"Quality of employment - While we have been successful in reducing unemployment rates, the review of LFS 2012 indicates that the quality of employment could be improved.",4
313,•	The agriculture and forestry sector continue to be the largest employer while contributing least to GDP growth rate.,4
314,"The impressive economic growth achieved by the secondary and tertiary sectors has not translated into jobs, thereby indicating some levels of inequity in economic growth.",4
315,•	Even among the employed many are still vulnerable and lack income and social security as 40 percent of those employed are agriculture family workers.,4
316,Women are particularly vulnerable as they comprise 27.6 percent in this category.,4
317,•	About 68.9 percent of those employed in the agriculture sector worked for more than 48 hours of which 46.1 percent reportedly work more hours to increase earnings indicating low income for those employed in the sector.,4
318,"•	Only 33 percent of those employed earned monthly incomes of Nu. 10,000 or more.",4
319,"•	In terms of the level of education, 53.6 percent of those employed were illiterate with the next highest level being middle secondary school level dropouts at 11 percent.",4
320,Only 4.1 percent had either an undergraduate or Bachelors degree.,4
321,This indicates either a poor synergy between the education system and manpower needs resulting in a lack of skilled manpower or a mismatch of potential employees and jobs available.,4
322,"Creation of new jobs: During the next five years, approximately 120,000 jobs seekers will be entering the labour market.",4
323,"Out of this, 60 percent will be those with education qualifications of Class X and higher.",4
324,"While this presents an opportunity of a large number of educated job seekers, creating jobs that meets the aspirations of these qualified youth will be a major challenge.",4
325,The Labour Force Survey 2012 estimates that the unemployment rate among the middle secondary education group was the highest at 22.8 percent.,4
326,This was followed by the higher secondary education group at 20.4 percent and Bachelor Degree group at 12.3 percent.,4
327,"Projections based on the employment elasticity  of sectoral growth reveal potential for creating 120,000 jobs for corresponding number of job seekers in the Eleventh Plan.",4
328,The services sector presents the highest potential for absorbing job seekers followed by industries and agriculture.,4
329,The jobs in service sector - hotels and restaurant;,4
330,"transport, storage and communications;",4
331,wholesale and retail;,4
332,"real estate, renting and business activities - are expected to grow as a result of doubling of tourist arrivals from 100,000 to 200,000 and initiation of seven new mega hydropower projects during the Eleventh Plan.",4
333,"The jobs in the industrial sector are also expected to grow with the commissioning of three new hydropower projects, establishment of power intensive industries and construction activities related to mega hydropower projects.",4
334,"The share of agriculture sector for new employment is expected to be very low, in absence of any other policy intervention.",4
335,"Hence, jobs will be available but the greater challenge would be to match supply of jobs with the right skills in the labour market.",4
336,5.4.4  Strategies,4
337,The main objective of this sector is to achieve full and productive employment.,4
338,Strategies to achieve this objective include,4
339,•	Implementation of the Rapid Investments in Selected Enterprises (RISE) programme;,4
340,•	Private Sector Development;,4
341,•	Institutionalizing multi-sectoral coordination committee to strengthening linkages between the education system and manpower needs of the country to address the mismatch of skills and aspirations;,4
342,•	Incentivizing business and industries that give priority to employment of Bhutanese;,4
343,and,4
344,•	The government will also explore decent and productive overseas employment particularly for the youth.,4
345,"In the Eleventh Plan, about 82,000 new jobs need to be created for approximately 120,000 job seekers, to ensure full employment of 97.5 percent.",4
346,The tentative sector-wise new jobs required to be created is presented below.,4
347,The projections are based on past trends and new potential such as construction of seven new mega hydropower projects and doubling to tourist arrivals in the Eleventh Plan.,4
348,5.4.5  Key Programmes,4
349,•	Promotion of full and productive employment,4
350,•	Promotion of decent working conditions and work environment Programme details are presented in Eleventh Plan Volume II document.,4
351,Renewable Natural Resources (RNR) Sector,5
352,"RNR sector comprises of agriculture, livestock and forestry.",5
353,"For an agrarian country like Bhutan, the RNR sector plays a vital role in bringing about equitable development through enhancing rural prosperity and poverty alleviation.",5
354,About 62.238 percent of the population directly depended on agriculture for their livelihood.,5
355,"However, in spite of the changes and innovations infused over the years to propel RNR sector growth, the sector's growth remained insufficient to adequately address rural poverty, attain food security and to sustain the overall economic growth.",5
356,"The sector's full potential is challenged by low productivity due to issues such as acute shortage of farm labour driven by outbound rural-urban migration, loss of arable land to urbanization, difficult terrain, fragmented land holdings, loss of crops to wildlife, lack of access to market and agricultural credit, climate change and natural disasters, post harvest management issues and subsistence nature of farming.",5
357,"Consequently, dependence on import of food and food grains remain high and returns to farmers remain small as a result of higher costs of production and low economies of scale.",5
358,5.5.1  Current Situation,5
359,"Based on food availability, access and nutrition, Bhutan is modestly food secure.",5
360,"60 percent of cereal, vegetables and animal products are domestically produced, and 95 percent of fruits and nuts are domestically available, with apples and oranges enough to be exported.",5
361,"However 97 percent of fish, 80 percent of beef and 77 percent of pork demand and 90 percent of oils and fats are still met from imports (as of 2010)38.",5
362,"In terms of access, about 3 percent of the population spends less per person than the food poverty line of Nu. 1,154.7439.",5
363,"The nutritional status40, measured in terms of stunting prevalence, while reduced from 56 percent in 1988 to 33.5 percent in 2010, still remains high.",5
364,RNR sector is also the largest employer.,5
365,"As per Labour Force Survey 2012, 62.2 percent of those employed were in RNR with 23.9 percent male and 38.4 percent female.",5
366,"The survey also reveals that among all occupation groups, 68.9 percent of those employed in agriculture worked for more than 48 hours per week due to the sector providing the lowest monthly income in all occupation groups.",5
367,The share of agriculture to real GDP has declined by more than half from 25 percent in 2001/02 to 12 percent in 2011/12 mainly because of higher growth in other led by the electricity and construction and also due to various challenges faced by the sector itself.,5
368,"In terms of nominal GDP in current prices, agriculture contribution has doubled from Nu 6 billon in 2001/02 to Nu. 14 billion in 2011/12.",5
369,5.5.2  Key Challenges,5
370,Loss of agriculture land and declining productivity - Achieving food self-sufficiency would largely depend on area under food grain cultivation and yield per hectare.,5
371,Both are on the decline.,5
372,Rapid development and urbanization has put a lot of pressure on agriculture land.,5
373,"According to the Department of Agriculture's estimates, about 2000 acres of agricultural land was lost to non-agriculture development purposes during 1998-2008.",5
374,This is likely to increase in the near future with increased development activities unless effective measures are put in place to protect prime agricultural lands.,5
375,Studies also indicate that yield per hectare has been on the decline at a compounded annual rate of 1.84 percent over the last 27 years.,5
376,"This could be attributed to various factors such as declining investment in the agriculture sector, loss of prime agriculture land to other use, climate change, land being kept fallow due to shortage of farm labour/irrigation, loss of crop to wildlife and limited scope of mechanization.",5
377,"Unless these issues are addressed in the Eleventh Plan, achieving food self-sufficiency goal in the Eleventh Plan will still remain a challenge.",5
378,Agriculture Environment and Challenges - Agriculture farming is characterized by steep geographic terrain.,5
379,"With the exception of few wide valleys in the western, central and some plains in the southern part of the country, in most part agricultural lands are located on the slopes.",5
380,Assessment indicates that 31 percent of the agriculture land is located on slopes more than 50 degrees.,5
381,"This is also one of the reason why soil erosion rate is high, estimated at 8.6 tonnes/ha or approximately 3.5 t/acres (DOA, 2011).",5
382,"Moreover, despite having an abundance of water resources, agriculture is still dominated by the rain-fed dry land farming and wetland cultivation.",5
383,"Of the 77,493 acres of ""chuzhing"" only 59,243 acres are serviced with improved irrigation system.",5
384,Dry land irrigation for other crops is virtually non-existent.,5
385,"Further, pest and diseases continue to be a problem for the farming communities.",5
386,"Feral vertebrate pests such as wild boar and deer, apes such as monkey and marsupial like porcupine are major problem.",5
387,It is estimated that 126 kgs of crops per household are lost annually to wild animals pests.,5
388,"Other crop diseases such as Gray Leaf Spot and Turcicum Leaf Blight in maize, Greening in Citrus, phythoptra diseases in chilli and potatoes also continue to pose major challenges.",5
389,"Domestic cattle and equine population left stray in winter is one of leading factor discouraging farmers from growing winter and spring crops such as wheat, barley and buckwheat affecting the cropping intensity and overall production potential.",5
390,Labor shortage including increasing feminization of the agricultural labour force is becoming one of the leading constraints in agriculture production.,5
391,"According to agriculture statistics 2011, available farm labour constitutes only 26 percent.",5
392,Rural female population is more by 3.7 percent overall.,5
393,"In the age group of 15-64 which is also an active population group, female population is higher by 7.5 percent, and this is likely to increase.",5
394,This gender imbalance in agriculture workforce will also have significant impact on agriculture.,5
395,These factors have contributed to RNR sector providing the least monthly earnings among all major occupations.,5
396,"If this trend continues, it is likely that more and more people could leave their farms which could adversely impact the goals of achieving food and nutrition security, reducing unemployment levels and, may likely reverse the gains achieved in poverty reduction.",5
397,5.5.3  Sector Key Result Areas,5
398,5.5.4  Strategies,5
399,"A key strategy will be to transform the RNR sector into a commercially viable sector that provides higher returns to the farmers, improves rural livelihood, reduces imports and promotes exports, and offers attractive employment opportunities to youth.",5
400,"To facilitate this transformation, focused initiatives will be undertaken as follows:",5
401,"Targeted and commodity focused approach: One Gewog One Product, based on commercial viability of such product and the potential of different Gewogs, will be one of the strategies to achieve the objective of food and nutrition security.",5
402,"At national level, the focus will be on fewer prioritized products that will enhance food self sufficiency and also contribute to import substitution and export promotion.",5
403,"The Dzongkhags identified to produce prioritized products will be provided necessary support, both technical and resources, by the Ministry of Agriculture and Forests through central RNR programmes.",5
404,Transition from subsistence to commercial agriculture: Investment in the RNR sector will be aimed at ensuring gradual transition from subsistence to commercial production.,5
405,"This would require introduction and application of technologies that improves productivity of crop, forest and livestock.",5
406,"To provide both economies of scale and fair terms of trade, the evolving farmers' organizations and cooperatives will be supported technically and financially, notably through preferential access to loans from financial institutions, extension support services and other forms of support.",5
407,Enabling environment: A policy and legal framework that incentivizes RNR production and promotes private sector investment will be implemented.,5
408,Access to finance will be facilitated through priority lending by financial institution to the RNR sector.,5
409,"Infrastructure facilities such as irrigation, storage and communication to facilitate efficient and effective production, marketing and distribution of RNR products will be prioritized.",5
410,Linkages between research and extension services will be strengthened and streamlined to improve the productivity of farming systems.,5
411,"Promote private sector participation and contract farming: Government will facilitate an enabling environment for private sector participation and contract farming to enhance market access, innovations and technical expertise.",5
412,"Private sector participation will be encouraged in the entire value-chain, starting from agriculture input supply to production, processing, distribution and marketing.",5
413,A reliable institutional mechanism will be established to effectively cater to the needs of the interested private entities.,5
414,"Wherever applicable, best practices gained from the Hazel nut and Coffee plantation ventures will be used to attract private investment in the RNR sector.",5
415,5.5.5  Key programmes,5
416,Some of the major programmes are as follows:,5
417,•	National field crops development,5
418,•	Agriculture infrastructure development,5
419,•	National Organic,5
420,•	National horticulture development,5
421,•	National livestock development,5
422,•	Market development,5
423,•	RNR Research and extension services,5
424,•	National bio-security and food safety,5
425,Programme details are presented in Eleventh Plan Volume II document.,5
426,Tourism Sector,6
427,"Tourism in Bhutan is governed by the policy of ""high value-low impact"" tourism.",6
428,The policy serves to develop tourism that has minimum negative impact on our natural and cultural heritage.,6
429,The tourism pricing of USD $200 per person per night during off-seasons and USD $250 per person per night during seasons forms the basis for regulating tourist arrivals.,6
430,Travel to Bhutan is booked either through Bhutanese tour operator or their international partners.,6
431,Culture and nature are the two leading purposes for tourist arrivals.,6
432,The majority of arrivals are in spring (February-April) and autumn (August-October) season.,6
433,The tourism sector is the major source of foreign exchange earnings and employment.,6
434,"Gross earnings in 2012 were USD 62.80 million and approximately 22,045 employment opportunities were created in 2011.",6
435,"Out of USD 62.80 million, USD 16.63 million was generated as direct revenue for the Government through the ""Royalty"" (35 percent tourism levy on daily tariff).",6
436,"Other taxes such as the Business Income Tax (BIT) and Sales Taxes paid by tourism service providers also translate into government revenue, therefore increasing revenue generated by the tourism industry.",6
437,5.6.1  Current Situation,6
438,"With improvements in tourism infrastructure facilities and better air connectivity, the number of tourist arrivals to Bhutan has increased from about 6,000 in 2001 to about 105,407 in 2012.",6
439,"The figure includes 54,685 international visitors and 50,722 regional visitors.",6
440,The average length of stay was 6.90 days.,6
441,"The arrival figures include about 57 percent international visitors, 26 percent regional high-end visitors, 16 percent MICE (Meeting, Incentive, Conferences, Exhibition) visitors, and 1 percent familiarization visitors.",6
442,"The highest number of visitors was from Japan at 15.98 percent, followed by USA at 13.67 percent and China at 8.57 percent.",6
443,"Among the regional tourist, arrivals from India topped the list with 87 percent, followed by Bangladesh at 11 percent and Maldives at 2 percent.",6
444,"In terms of the tourism spread, Paro Dzongkhag hosted the maximum bed nights (32.69 percent) followed by Thimphu, Wangduephodrang, Punakha and Bumthang.",6
445,"Pemagatshel, Zhemgang, Tsirang, Dagana, Sarpang and Samtse were among the Dzongkhags that hosted less than 0.04 percent bed nights.",6
446,This is due to lack of tourism products in these Dzongkhags.,6
447,However this is likely to change in the coming years with the Royal Manas National Park being open to tourism.,6
448,The tourist arrivals in Trashigang and Samdrup Jongkhar have improved significantly as a result of opening of Merak Sakteng trek and also use of Samdrup Jongkhar as an entry point from the south-east.,6
449,"The tourism package covers the cost of accommodation in a '3-Star' and above category hotel, local guide and transportation, and three meals.",6
450,"Currently, there are 123 accommodation providers with a capacity of 2,749 rooms offering 5,464 bed nights consisting of 8 '5-Star', 7 '4-Star', 40 '3-Star', 54 '2-Star' and 19 '1-Star' category.",6
451,Accommodation classified as '2-Star' and below have been encouraged to upgrade to '3-Star' and above in order to cater to tourist.,6
452,The annual occupancy rates was highest in the '3-Star' category with 34.46 percent followed by '5-Star'.,6
453,"In terms of tour operators, there were 741 registered local tour operators, of which 318 were operational.",6
454,"The top 12 tour operators accounted for 41.46 percent of total arrivals with the highest number of tourists managed by a single operator of 4,159 visitors.",6
455,5.6.2  Key Challenges,6
456,"It is evident from the above that the tourism sector has made much progress and is one of the key economic sectors contributing to economic growth, employment and revenues.",6
457,"However, constraints in terms of accessibility, regional spread, seasonality and product diversification are still issues of concern.",6
458,"With just one international airport at Paro and with only Druk Air, the national carrier with a fleet of three Airbus A319 and one ATR 42-500, flying to limited destinations in the region, traveling to Bhutan is a challenge to many visitors.",6
459,The number of visitors to Bhutan currently is determined by Druk Air's capacity.,6
460,"In 2012, about 88 percent of the visitors used air as preferred mode of travel to Bhutan.",6
461,"Since October 2013, a private airline, Bhutan Airlines owned by of Tashi Air Private Limited, started operating between Paro and Bangkok sector with one Airbus 320.",6
462,"The other major challenge faced is the shortage of manpower in the form of trained guides, skilled workers in hospitality sector, qualified and experienced professionals in product development, destination marketing and other tourism-related services.",6
463,The sector is still largely dependent on international tour operators for arrivals.,6
464,"Among the 20 Dzongkhags, Paro, Thimphu, Punakha, Wangduephodrang and Bumthang are the major beneficiaries of tourism.",6
465,"Lack of tourist infrastructure facilities/amenities, travel time and limited tourism products are some of the reasons for other Dzongkhags not benefitting much from the sector.",6
466,"However, with the completion of three domestic airports and efforts already underway to create infrastructure facilities and products in Central, South and East, the lack of regional spread is expected to be addressed in the next few years.",6
467,5.6.3  Sector Key Result Areas,6
468,5.6.4  Strategies,6
469,Tourism will be one of the priority sectors under Rapid Investments in Selected Enterprises (RISE) programme.,6
470,"Under the programme, selected initiatives that contribute to achieving higher yields per tourist as well as double the arrivals but spread throughout the country and throughout the calendar year will be defined and implementation of these initiatives closely monitored.",6
471,5.6.5  Key Programmes.,6
472,"•	Sustainable Tourism Development: The focus of this programme will include product diversification to ensure regional and seasonal spread, improving quality and standards of services including accommodation and tourism attractions, exploring new markets, and decentralization of tourism planning and development.",6
473,"Further, the programme will ensure that local communities are able to reap the benefits from this industry.",6
474,The thrust area for this industry will continue to be high end sustainable tourism destination.,6
475,•	Strengthening of Royal Institute of Tourism and Hospitality: The Institute is expected to enhance the quality of tourism and hospitality professionals by benchmarking its training programmes to international standards and working towards its vision of becoming a regional center of excellence.,6
476,The training modules and curriculum will be reviewed and improved based on periodic training needs assessments.,6
477,Required additional infrastructures will be put in place and capacity development of faculties will receive priority.,6
478,Programme details are presented in Eleventh Plan Volume II document.,6
479,"Trade, Industries & Mines Sector",7
480,This is a critical sector for sustainable economic growth and poverty reduction.,7
481,The high priority accorded to the sector over the last five decades has resulted in significant structural changes in the economy with secondary and tertiary sectors taking over the primary sector and annual growth rates averaging around 8 percent per annum over the last decade.,7
482,"However, the structural change has not translated into productive employment opportunities, vibrant private sector growth and economic diversification.",7
483,The economy continues to be driven by hydropower and construction sectors with limited potential for employment creation.,7
484,"Besides, small domestic market, difficult terrain, high transportation costs, lack of skilled human resources and access to finance remain major challenges to sustainable economic growth.",7
485,"In an effort to diversify the economy and address the challenges, the Economic Development Policy (EDP) was adopted in 2010.",7
486,The EDP targets high value and low volume green services and products that have minimal impact on environment,7
487,"- potential sectors include tourism, Information and Communication Technology (ICT) and IT enabled industries, cultural industries, construction and high-value niche commercial and organic agricultural products.",7
488,"The main thrust area for the trade, industries and mining sectors in the Eleventh Plan is ""Brand Bhutan, Economic Diversification and Inter-generational Equity"".",7
489,5.7.1  Current Situation,7
490,Trade: India is Bhutan's largest trading partner accounting for 84 percent of exports and about 73 percent of imports.,7
491,"In 2011, Bhutan's imports from India were worth Nu. 35.2 billion while exports to India amounted to Nu. 26.3 billion, leading to a trade deficit of Nu. 8.8 billion42 (10 percent of GDP).",7
492,"Electricity export makes up 38 percent of the total exports to India (Nu. 10.4 billion) while 51 percent of imports from India comprises of mineral fuel, base metal and vehicles.",7
493,The balance of trade with India was in surplus till 2009 and thereafter it ran into deficit with imports outpacing exports with the commencement of three hydro-power projects in 2010-11.,7
494,Trade with rest of the world accounted for 16 percent of exports and 27 percent of imports.,7
495,"After India, the other major trading partners include Bangladesh, Thailand, Japan, South Korea, Hong Kong and Singapore.",7
496,"The main items of export were agro products (apples, oranges, mushrooms, cordyceps) and the main items of imports were vehicles (22 percent of total imports in 2011), machinery and mechanical appliances (42 percent of total imports in 2011).",7
497,The wholesale and retail trade's share of GDP averaged around 6 percent during the last five years and created an employment of 3.8 percent in 2012.,7
498,"The trade sector's contribution to national revenue increased from Nu. 2,789 m (19 percent of total revenue) in 2008-09 to Nu. 7,166 m (34 percent of total revenue) in 2011-1243.",7
499,"The increase is attributed to higher remittances from excise duty refund, sales tax collections from goods and alcoholic products, customs duty, and corporate and business tax from trading units.",7
500,"Trade with India is based on a Free Trade and Commerce Agreement between the two countries, that was renewed in 2006 for ten years.",7
501,"With Bangladesh, which is one of the top three export destinations, Bhutan has a Preferential Trade Agreement that was renewed in 2009 for five years.",7
502,The current trading arrangement allows duty/ tax free access to 18 exportable items from Bhutan to Bangladesh.,7
503,Trade between Bhutan and Bangladesh has seen a substantial increase in the last five years.,7
504,Imports from Bangladesh increased from a meager amount of Nu. 75.41 million in 2007 to Nu. 169.35 million in 2011.,7
505,"Import from Bangladesh in 2010 was recorded at Nu. 190.11 million, which is the highest till date.",7
506,"Similarly, exports to Bangladesh increased from Nu. 469.59 million in 2007 to Nu. 1226.66 million in 2011.",7
507,The balance of trade has always been in Bhutan's favour ever since the commencement of trade with Bangladesh.,7
508,Bhutan and Thailand signed the Trade and Economic Cooperation agreement in November 2013.,7
509,"The value of Bhutan's exports to and imports from Thailand was Nu. 4.67 million and Nu. 1,223.70 million respectively in 2011.",7
510,Bhutan is also negotiating trade agreement with Nepal.,7
511,"For the year 2011, the value of Bhutan's export to and import from Nepal were Nu. 76.00 million and Nu. 138.89 million respectively.",7
512,"In terms of global and regional trade agreements, accession to World Trade Organization (WTO) is still under consideration.",7
513,The Working Party for Accession to WTO was established in 1999 and its memorandum on Bhutan's Foreign Trade Regime was submitted in 2003.,7
514,"At the regional level, Bhutan is member of the Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation (BIMSTEC).",7
515,The negotiation on BIMSTEC free trade agreement is on-going.,7
516,The South Asia Free Trade Agreement (SAFTA) aimed at reducing tariffs for intraregional trade between the eight South Asian countries came into effect on 1 January 2006.,7
517,"It aims to reduce tariffs in stages to reach 0-5 percent level by 2013, with a longer time frame for the Least Developed Countries (Bhutan, Bangladesh and Nepal) to reach that goal by 2016.",7
518,"Due to the large number of products in the sensitive list, trade expansion under SAFTA has been limited;",7
519,"Bhutan has 150 products in the list compared to 1,257 products in Nepal's list.",7
520,Reductions in the number of products under this list by member states are still being negotiated by the Working Group on Reduction in the Sensitive Lists.,7
521,The other agreement within the SAARC framework is on Trade in Services (SATIS) which was signed at the Sixteenth SAARC Summit held in Thimphu from 28-29 April 2010.,7
522,The Agreement has been ratified by all the Member States and negotiations on finalization of schedules of specific commitments are ongoing.,7
523,"Industries - Industries is dominated by few major manufacturing firms based on mineral and metal and a large number of smaller firms dealing in handicrafts, food processing, construction, wood and paper processing.",7
524,"In 201144, there were 22,776 industrial firms, of which 133 were large, 220 medium, 2,649 small and 19,774 cottage industries.",7
525,"In terms of the type of industries, there are 291 agro-based, 831 forests based, 209 mineral based, 20,799 services and 646 others.",7
526,"Among the Dzongkhags, Thimphu Dzongkhag had the highest number of industrial firms representing about 35 percent (7,973) followed by Chukha with 14 percent (3,094).",7
527,Gasa had the least with 76 cottage industries followed by Lhuentshe with 198.,7
528,"The major industries are located at Samtse (cement, fruit processing and liquor), Pemagatshel (gypsum mining), Gelephu (wood processing and liquor), Thimphu (agro and wood processing) and Phuentsholing (calcium carbide, ferrosilicon, plaster of paris, steel, beverages, bottling plant).",7
529,Many of the major industries are located in the South due to proximity to the Indian market both for raw material and exports.,7
530,"The industries in the north are mostly small and medium sized cottage industries in agro-processing, wood-based, cultural industries (textile and handicrafts) and handmade paper.",7
531,"To achieve the objective of Economic Development Policy 2010, the Foreign Direct Investment Policy (FDI) was revised in 2010 and made more liberal by incorporating a negative list in its provisions.",7
532,"Since its revision, 41 FDI projects have been approved of which 18 are operating and 24 projects have been issued with FDI registration certificates.",7
533,"The FDI projects are in hotels, hydropower, pharmaceuticals, dairy, steel, water bottling and banking.",7
534,"The holding of foreign investors' range from 20 percent to 100 percent, with Mountain Hazelnut Ventures Private Limited being a 100 percent foreign owned company.",7
535,"The key sources of FDI into Bhutan are from India, Hong Kong, USA, Japan, Singapore, Samoa, France, and Vietnam.",7
536,"Banking accounts for the largest share of FDI, with the International Finance Corporation (IFC) buying a 20 percent stake in the Bhutan National Bank, followed by the hydropower sector with foreign investment of Nu. 1.22 billion for the 115 MW Dagachhu hydropower project.",7
537,The industry sector's contribution to GDP was the highest averaging around 40 percent per annum over the last five years with manufacturing sector contributing 10 percent.,7
538,Mining - Bhutan has pursued mining activities cautiously bearing in mind the social and environmental consequences.,7
539,"The sector is, therefore, still underdeveloped.",7
540,"Although Bhutan has significant deposits of a number of mineral resources, including limestone, coal, graphite, gypsum, slate and dolomite, most mining activities are limited to relatively small operations and mainly involve the above minerals.",7
541,The total mineral production ranges from 5000 metric tons to over a million metric tons annually.,7
542,All the mines in the country are operated using opencast mining technique and the current land coverage by mining activities is 0.033 percent of the total area of the country.,7
543,"About 15,000 square kilometer from the total geographical area of 38,394 square kilometer has been geologically mapped in the scale of scale of 1:50,000 systemically.",7
544,There are currently about 55 registered firms in the mining sector.,7
545,Mining is important source of revenues.,7
546,"During the period 2005 to 2011, revenues from mining sector ranged from Nu. 155 million to Nu. 233 million annually, excluding business/corporate/personal income taxes paid by the promoters of the mines.",7
547,The mineral production and their uses over the last three years are as follows.,7
548,Further development of mining sector will be pursued considering the environmental and social impacts and intergenerational equity.,7
549,5.7.2  Key Challenges,7
550,Foreign trade - Foreign trade is dominated by a few products.,7
551,"In 2011, about 80 percent of Bhutan's total export amounting to Nu. 31,485 million comprised of electricity (Nu. 10,411 million), mineral products (Nu. 4,626 million - ferro-alloys, calcium carbide, silicon manganese and silicon carbide) and base metal (Nu. 10,476 million - steel bars, ingots and copper wire).",7
552,The export earnings from these products are highly vulnerable with the production of electricity highly dependent on hydrological flows and the uninterrupted operation of the hydro power plants and mineral and base metals products being currently competitive only due to cheap electricity rather than any technological advantage.,7
553,"Further, due to high import content of raw materials for these products, they account for the highest share of the import bill.",7
554,"The import bills for base metal and mineral products in 2011 were Nu. 8,565 million and Nu. 10,805 million respectively.",7
555,"The next major export product is agriculture products (mandarin, potatoes, apples, cordyceps and agro products) which accounted for about 5 percent of the total exports.",7
556,Bhutan faces major challenge in product diversification.,7
557,Continued emphasis on mineral products and base metals for export promotion could mean compromising on environmental concerns and having to continue to provide electricity to these industries at prices lower than export prices.,7
558,Diversification of our exports in agricultural and non-mineral and non-metal products will however require substantial investments.,7
559,"Ease of Doing Business - In the 2012 IFC/World Bank Report on ""Ease of Doing Business"" Bhutan ranked 142 out of 183 countries.",7
560,"The areas requiring improvements were resolving insolvency, protecting investors, getting electricity and dealing with construction permits amongst others.",7
561,"In the region, Bhutan ranks seventh out of eight countries.",7
562,"Industrial base - About 85 percent of Bhutanese industries are small and micro industries dealing in agro products, textiles and handicrafts and large number of such industries are located in urban areas.",7
563,"While development of such industries are important in view of Bhutan's desire to develop clean green manufacturing industries with high potential for employment and for promoting broad based inclusive growth, they are constrained by lack of access to capital, technology, markets and labour resulting in low volume, high cost and inferior quality products.",7
564,"Mining - In the absence of a clear mineral development policy, the management, allocation and monitoring of mining sector has been difficult.",7
565,The sector also faces human resource constraints both in the government and the private mining sector which has hampered effective functioning of the sector.,7
566,"The draft Mineral Development Policy has been prepared to address these issues, and is expected to be approved within the first year of the Eleventh Plan.",7
567,5.7.4  Strategies,7
568,The flagship programme to accelerate economic growth and achieve the objective of self-reliance will be the Rapid Investments in Selected Enterprises (RISE) programme.,7
569,"The Government, in consultation with the relevant stakeholders will identify 4-5 non-hydro priority sectors for end-to-end intervention in the Eleventh Plan.",7
570,"The selection of priority sectors will be based on three filters of i) employment generation, ii) revenues to the government, and iii) returns to the entrepreneurs.",7
571,"Tentatively, the sectors identified are tourism (to achieve higher yields per tourist as well as double the arrivals but spread throughout the country and throughout the calendar year), agro-processing (selected produce with high potential), construction (enhance the capacity of Bhutanese contractors to deliver quality and take on more complex projects), small and cottage industries (including cultural industries such as textiles, arts and crafts) and manufacturing (explore establishment of few large scale hydro-power intensive industries).",7
572,"A detailed blue print of interventions will be developed with clear initiatives, time line, targets, resource requirements and persons responsible to deliver the initiatives.",7
573,The implementation of the programme will be rigorously monitored by the Cabinet and Committee of Secretaries and problem solving sessions facilitated to expedited smooth implementation of the programme.,7
574,"To facilitate private sector development, the government will facilitate the development of economic infrastructure such as industrial estates in Jigmeling in Gelephu, Dhamdum in Samtse, Motanga in Samdrup Jongkhar and Bondeyma in Mongar and establishment of dry ports in Phuentsholing.",7
575,"The government will also review and address issues related to excise refund, access to finance particularly for cottage, small and medium industries, reduction in turn-around-time for Government to Business (G2B) services specially in terms of government clearances/ approvals, and development of capital markets.",7
576,5.7.5  Key Programmes,7
577,Some of the key programmes include:,7
578,•	Export Promotion and Market Access: The programme aims to strategically enhance our export capacity and leverage our comparative advantages to build our competitiveness in the international market through export promotion and marketing and facilitation of exports through integration into the regional and international trading environment.,7
579,"•	Strengthening Trade Policy and Regulatory Framework: The emphasis will be on strengthening the policy and regulatory framework to improve and simplify the procedures for business start-ups, prevent business malpractices, promote",7
580,fair competition in the market and promote international best practices in the business environment.,7
581,The drafting of the Consumers' Protection Act and enactment of the Trade Development Act and the Competition Policy/Act are key policy and regulatory instruments that will be pursued.,7
582,"Further, the Dechencholing fuel depot will be relocated to Thinchupangkha under Paro Dzongkhag and Fuel quality will be upgraded to Euro IV.",7
583,•	Promotion of sustainable and environment friendly industrial development,7
584,- The focus will be on development of industrial parks to promote private sector development and enhance socio-economic activity in a particular region.,7
