,1.1,1.2,1.3,1.4,1.5
"Domestic laws such as Child Adoption Act 2012, Child Care and Protection Act ofBhutan 2011, Narcotic Drugs, Psychotropic Substances and Substance Abuse Act 2005and Rape Act 1996 have been enacted to protect the rights and welfare of individuals.At the international level, Bhutan is a signatory to the Convention on Eliminationof all Forms of Discrimination Against Women (CE DAW), Convention of Rights ofthe Child (CRC) and the UN Convention on the Rights of Persons with Disabilities.Existing Facilities - The National Institute for the Visually Impaired established in1973 was the first institution established for special needs children",,,0.20948859356722385,,
"The shelter provides emergency protection, food and lodging, emergency medical care, crisis intervention and counseling.",,,0.15369387808896895,,0.11556539880322102
"and life skills such as personal management skills, sign language, safety skills, etc",,,0.053221093245419536,,
"Differently-abled persons: According to the two stage child disability (aged 2-9 years) study53 carried out by NSB in 2012, the prevalence of any form disability was 21 percent",,,0.045932165890277266,,
If mild disability was excluded then the prevalence of moderate or severe disability clubbed together was about three (2.7) percent,,,0.0,,
The prevalence of disability was higher among the age group 2-5 years,,,0.0,,
"The prevalence of cognitive disability was highest with 15 percent, followed by behavior disability 5.6 percent and fine motor 5.5 percent.",,,0.0,,
"Conservation, restoration, making these sites disaster resilience, inventorying of these monuments and capacity building in conservation practices have become necessary",,,0.0,,
Capacity development for research and documentation on conservation and restoration measures will be carried out through trainings/workshops,,,0.0,,
"Through the declaration entitled ""Declaration of the Kingdom of Bhutan - The Land of Gross National Happiness to Save our Planet"" the government has committed to maintain Bhutan's status as a net sink for Green House Gasses by ensuring that greenhouse gas emission levels do not exceed the sequestration capacity of its forest",,,0.07161021254281265,,
"Bhutan has been able to maintain its natural environment, much of it pristine, due to its strong commitment towards conservation of environment and through enactment of various legislations such as National Environment Protection Act, 2007, Environmental Assessment Act 2000, Regulation for Environmental Clearance of Projects and Regulation on Strategic Environmental Assessment 2002, Waste Prevention and Management Act of Bhutan 2009, Waste Prevention and Management Regulation 2012 and Water Act of Bhutan 2011.",,,0.03248862897985705,,
"Presently, carbon emissions are about one third of the total sequestration capacity of our forest.",,,0.0,,
Biological diversity - 51.32 percent of the country is under a protected area network which includes ten protected areas and biological corridors,,,0.048238790485175875,,
"Interventions such as reducing indoor air pollution, protecting sources of safe drinking water, protecting soil from contamination, improved sanitation measures, and better public health governance, offer tremendous opportunities for reducing the incidence of a number of critical health problems.",,,0.0,,
Water Security - Water is an important natural resource for basic survival of all living beings,,,0.05263157894736842,,
"To achieve food security, addressing this issue will be essential.",,,0.09774436090225563,,
Water security will be strengthened through the development of integrated water resource management plan and better coordination,,,0.10272586310965859,,
Conducting strategic environmental assessment for hydropower projects and transmission lines and carrying capacity of the mines and industries to ensure sustainable development and inter-generational equity.,,,0.1493079673257354,,
"To address the issue of human-wildlife conflict, the Ministry of Agriculture and Forest will construct solar-powered electric fence, provide electric fence energizer and will continue with Gewog level insurance programs for livestock and crops from endowment funds",,,0.10811155537035852,,
"The Eleventh Plan will continue to place emphasis on further strengthening governance by strengthening democracy, improving public service delivery, promoting gender equality, curbing corruption and enhancing safety.",,,0.08831561200456405,,
"To strengthen the process of decentralization, administrative and fiscal devolution of authority alone is not sufficient but of equal importance is to build the capacity of those at the grassroots to plan, implement and monitor development activities",,,0.07745823261894753,,
"Gender - Female participation in elected offices, ratio of female to male in tertiary education, female youth unemployment and gender sensitive policies and working environment are some of the challenges in ensuring gender equality.",,,0.034973152534697925,,
"Education, awareness and capacity building will be one of the key strategies to enhance political participation, particularly the youth and women.",,,0.0,,
"The capacity of the local governments will be strengthened through training, deployment of adequate number of technically qualified personnel and ensuring minimum facilities are available.",,,0.04700830834773554,,
"Consequently, diabetes, hypertension, cancers and traffic injuries are increasingly on the rise",,,,,0.0
The impact of climate change is already becoming visible with malaria cases being detected in areas that were once free of the disease,,,,,0.18240632581890295
"Emphasis will be continued to strengthen preventive and health promotion, through intensifying awareness programmes, enhancing cross-sectoral coordination, and advocating for health in all policies to address public health challenges such as, but not limiting to NCDs, injuries, HIV/AIDS, TB, Malaria, Maternal and Child Health, Nutrition and Neglected tropical Diseases.",,,,,0.0
This gender imbalance in agriculture workforce will also have significant impact on agriculture.,,,,,0.05570291777188329
"Tourism in Bhutan is governed by the policy of ""high value-low impact"" tourism",,,,,0.05057471264367816
The policy serves to develop tourism that has minimum negative impact on our natural and cultural heritage,,,,,0.04665314401622718
The EDP targets high value and low volume green services and products that have minimal impact on environment,,,,,0.076209578538087
Further development of mining sector will be pursued considering the environmental and social impacts and intergenerational equity.,,,,,0.15172413793103448
"Geo-scientific Studies and Risk Assessment of Geo-hazards: Bhutan is highly vulnerable to all forms of geo-hazards such as GLOFs, earthquake, landslides and flash floods owing to the fragile geology, active tectonics and climate change",,,,,0.060702927424317474
An earthquake monitoring network has already been initiated,,,,,0.1084976320488358
"Glacial Lake Outburst Floods (GLOF) - Bhutan is home to 677 glaciers and 2,674 glacial lakes (Second National Communication, 2011)",,,,,0.0
If the barrier is broken the water body from Thorthormi would flow into Raphstreng creating the threat of a possible outburst flood,,,,,0.0435035804007558
The combined volume of water from these two lakes are projected to produce about 53 million cubic metres which would cause a flood three times more powerful than the 1994 flood in Punakha from Luggye lake,,,,,0.0
"Enhancing Hydrological Network for Water Resources Assessment and Improvement of Flood Information/GLOF Early Warning System - Strengthening of hydrological information and establishing early warning networks and stations to reduce the risks of climate change induced disasters like floods, landslide, and droughts will be the focus.",,,,,0.05489092188599578
Any operational failure in the telecom link through Siliguri could lead to connectivity problems,,,,,0.10374633921269472
Flood risk assessment and vulnerability mapping will also be carried out,,,,,0.29118773946360155
These are aimed to reduce the vulnerability of people and places to floods.,,,,,0.4433497536945813
"However, the emergence of unplanned settlements near the urban areas is constraining urban expansions and provision of service facilities",,,,,0.039630051849543095
Emerging Social Challenges,,,,,0.1839080459770115
"Its main aim is to promote a strong support system based on solidarity, social networking and people's participation for addressing and taking collective action towards effective responses to HIV/ AIDS and its impact.",,,,,0.06478578892371996
There is no one overall agency within the government responsible for coordination of these emerging issues,,,,,0.06269592476489028
"In terms of the tangible cultural heritage, many of the rich historical, cultural and spiritual sites which existed for centuries are under threat from both natural and manmade disasters such as earthquakes, windstorms, landslides, vandalism and fire",,,,,0.06150978564771668
"Since 2009, all new policies introduced by the sectors are subject to GNH Policy Screening to assess the impact of a new policy on GNH",,,,,0.041050903119868636
Bhutan also falls within the top ten global biodiversity hotspots,,,,,0.0
"The water quality assessment of Wangchhu which falls within the limits of the City periphery was conducted during the period March 5-9, 2012",,,,,0.0
"At the same time, multilateral regimes and programmes responding to these global environmental issues must not adversely impact the development opportunities of developing countries.",,,,,0.09330628803245436
